season,week,actual_eliminated,rank_eliminated,pct_eliminated,match_rank,match_pct,names,judge_ranks,fan_ranks,total_pct
2,5,['Tia Carrere'],Tia Carrere,Tia Carrere,True,True,"['Tia Carrere' 'George Hamilton' 'Lisa Rinna' 'Stacy Keibler' 'Jerry Rice'
 'Drew Lachey']",[6 4 3 1 5 2],[6 2 3 4 1 5],[0.10543783 0.17341844 0.17031833 0.18346098 0.20085698 0.16650745]
2,6,['George Hamilton'],George Hamilton,George Hamilton,True,True,['George Hamilton' 'Lisa Rinna' 'Stacy Keibler' 'Jerry Rice' 'Drew Lachey'],[4 3 1 4 1],[5 1 3 2 4],[0.12177588 0.24051406 0.20871032 0.22069836 0.20830138]
2,7,['Lisa Rinna'],Lisa Rinna,Lisa Rinna,True,True,['Lisa Rinna' 'Stacy Keibler' 'Jerry Rice' 'Drew Lachey'],[3 1 4 1],[4 3 1 2],[0.17795692 0.27310471 0.27563002 0.27330834]
2,8,[],Jerry Rice,Jerry Rice,False,False,['Stacy Keibler' 'Jerry Rice' 'Drew Lachey'],[2 3 1],[1 3 2],[0.33984269 0.32139861 0.3387587 ]
3,1,['Tucker Carlson'],Tucker Carlson,Tucker Carlson,True,True,"['Harry Hamlin' 'Vivica A. Fox' 'Monique Coleman' 'Joey Lawrence'
 'Mario Lopez' 'Emmitt Smith' 'Shanna Moakler' 'Willa Ford' 'Sara Evans'
 'Jerry Springer' 'Tucker Carlson']",[ 8  3  6  5  1  2  7  3 10  9 11],[ 4  3  8 10  5  6  7  9  1  2 11],"[0.09037737 0.10353029 0.09042817 0.09149399 0.11142996 0.1056826
 0.08812026 0.09491638 0.091786   0.09157259 0.04066239]"
3,2,['Shanna Moakler'],Shanna Moakler,Shanna Moakler,True,True,"['Harry Hamlin' 'Vivica A. Fox' 'Monique Coleman' 'Joey Lawrence'
 'Mario Lopez' 'Emmitt Smith' 'Shanna Moakler' 'Willa Ford' 'Sara Evans'
 'Jerry Springer']",[ 7  3  2  1  7  3  6  5  7 10],[ 6  9  4  2  8  7 10  5  3  1],"[0.09561254 0.09465773 0.11226702 0.12424015 0.09138886 0.10029098
 0.05539131 0.10094354 0.10495102 0.12025684]"
3,3,['Harry Hamlin'],Harry Hamlin,Harry Hamlin,True,True,"['Harry Hamlin' 'Vivica A. Fox' 'Monique Coleman' 'Joey Lawrence'
 'Mario Lopez' 'Emmitt Smith' 'Willa Ford' 'Sara Evans' 'Jerry Springer']",[4 1 1 4 4 9 4 3 8],[9 7 8 3 6 1 5 4 2],"[0.06206155 0.10502133 0.10439319 0.12924729 0.10210445 0.13710502
 0.10592388 0.11609797 0.13804532]"
3,4,['Vivica A. Fox'],Vivica A. Fox,Vivica A. Fox,True,True,"['Vivica A. Fox' 'Monique Coleman' 'Joey Lawrence' 'Mario Lopez'
 'Emmitt Smith' 'Willa Ford' 'Sara Evans' 'Jerry Springer']",[4 4 3 1 4 2 8 7],[8 3 6 7 4 5 2 1],"[0.07016093 0.1292026  0.12318821 0.12773616 0.12832423 0.1303023
 0.14240339 0.14868218]"
3,5,['Willa Ford'],Willa Ford,Willa Ford,True,True,"['Monique Coleman' 'Joey Lawrence' 'Mario Lopez' 'Emmitt Smith'
 'Willa Ford' 'Sara Evans' 'Jerry Springer']",[1 5 1 1 1 6 6],[6 3 5 4 7 2 1],"[0.10662272 0.14559044 0.10709138 0.11162612 0.0841153  0.21809996
 0.22685407]"
3,6,[],Jerry Springer,Jerry Springer,False,False,"['Monique Coleman' 'Joey Lawrence' 'Mario Lopez' 'Emmitt Smith'
 'Jerry Springer']",[4 3 1 2 5],[3 1 4 2 5],[0.19745185 0.20454625 0.21720942 0.20607418 0.17471829]
3,7,['Jerry Springer'],Jerry Springer,Jerry Springer,True,True,"['Monique Coleman' 'Joey Lawrence' 'Mario Lopez' 'Emmitt Smith'
 'Jerry Springer']",[4 1 3 1 5],[1 4 2 3 5],[0.2374003  0.20683604 0.21609086 0.21220551 0.12746729]
3,8,['Monique Coleman'],Monique Coleman,Monique Coleman,True,True,['Monique Coleman' 'Joey Lawrence' 'Mario Lopez' 'Emmitt Smith'],[4 2 1 2],[4 2 3 1],[0.18451045 0.26983036 0.26006026 0.28559893]
3,9,[],Emmitt Smith,Emmitt Smith,False,False,['Joey Lawrence' 'Mario Lopez' 'Emmitt Smith'],[1 1 1],[2 1 3],[0.33373119 0.3369315  0.32933731]
3,10,[],Mario Lopez,Mario Lopez,False,False,['Mario Lopez' 'Emmitt Smith'],[1 1],[2 1],[0.49932606 0.50067394]
4,1,[],Leeza Gibbons,Billy Ray Cyrus,False,False,"['John Ratzenberger' 'Ian Ziering' 'Clyde Drexler' 'Laila Ali'
 'Apolo Anton Ohno' 'Shandi Finnessey' 'Paulina Porizkova' 'Heather Mills'
 'Billy Ray Cyrus' 'Joey Fatone' 'Leeza Gibbons']",[ 8  3  9  2  3  5  5  7 11  1 10],[ 4  3 10  5  7  8  1  9  6  2 11],"[0.08759468 0.09744558 0.08271979 0.10178774 0.09624739 0.09130967
 0.09324534 0.08865082 0.0772932  0.1049771  0.07872868]"
4,2,['Paulina Porizkova'],Paulina Porizkova,Paulina Porizkova,True,True,"['John Ratzenberger' 'Ian Ziering' 'Clyde Drexler' 'Laila Ali'
 'Apolo Anton Ohno' 'Shandi Finnessey' 'Paulina Porizkova' 'Heather Mills'
 'Billy Ray Cyrus' 'Joey Fatone' 'Leeza Gibbons']",[ 6  5 11  1  2 10  6  3  6  3  6],[ 9  7  1  3  5  2 11  8  6 10  4],"[0.08346235 0.08614173 0.11793117 0.10909291 0.09696199 0.10484239
 0.04944458 0.08980265 0.08626953 0.08552671 0.090524  ]"
4,3,['Shandi Finnessey'],Shandi Finnessey,Shandi Finnessey,True,True,"['John Ratzenberger' 'Ian Ziering' 'Clyde Drexler' 'Laila Ali'
 'Apolo Anton Ohno' 'Shandi Finnessey' 'Heather Mills' 'Billy Ray Cyrus'
 'Joey Fatone' 'Leeza Gibbons']",[ 9  1 10  6  5  6  1  6  1  1],[ 2  3  1  5  4 10  8  6  9  7],"[0.11673159 0.10962192 0.11257277 0.10052485 0.10647812 0.05667314
 0.09973734 0.09745334 0.09654405 0.10366289]"
4,4,['Leeza Gibbons'],Leeza Gibbons,Leeza Gibbons,True,True,"['John Ratzenberger' 'Ian Ziering' 'Clyde Drexler' 'Laila Ali'
 'Apolo Anton Ohno' 'Heather Mills' 'Billy Ray Cyrus' 'Joey Fatone'
 'Leeza Gibbons']",[7 3 9 5 2 4 5 1 7],[2 7 1 6 8 4 3 5 9],"[0.1090094  0.11772528 0.12246954 0.10992076 0.12175513 0.11854843
 0.11574777 0.13124852 0.05357517]"
4,5,['Clyde Drexler'],Clyde Drexler,Clyde Drexler,True,True,"['John Ratzenberger' 'Ian Ziering' 'Clyde Drexler' 'Laila Ali'
 'Apolo Anton Ohno' 'Heather Mills' 'Billy Ray Cyrus' 'Joey Fatone']",[6 4 8 2 1 5 7 3],[2 5 8 6 4 3 1 7],"[0.12337434 0.1343239  0.05643328 0.14196328 0.15284915 0.12735722
 0.13241181 0.13128703]"
4,6,['Heather Mills'],Heather Mills,Heather Mills,True,True,"['John Ratzenberger' 'Ian Ziering' 'Laila Ali' 'Apolo Anton Ohno'
 'Heather Mills' 'Billy Ray Cyrus' 'Joey Fatone']",[7 4 1 1 5 6 3],[1 2 5 4 7 3 6],"[0.16376205 0.15464173 0.15546514 0.16030442 0.08286683 0.14164866
 0.14131117]"
4,7,['John Ratzenberger'],John Ratzenberger,John Ratzenberger,True,True,"['John Ratzenberger' 'Ian Ziering' 'Laila Ali' 'Apolo Anton Ohno'
 'Billy Ray Cyrus' 'Joey Fatone']",[5 3 1 3 6 1],[6 2 5 3 1 4],[0.09849298 0.18470422 0.18091145 0.18256591 0.172311   0.18101444]
4,8,['Billy Ray Cyrus'],Billy Ray Cyrus,Billy Ray Cyrus,True,True,"['Ian Ziering' 'Laila Ali' 'Apolo Anton Ohno' 'Billy Ray Cyrus'
 'Joey Fatone']",[4 3 1 5 2],[1 3 2 5 4],[0.23079433 0.21353107 0.22483874 0.11420728 0.21662857]
4,9,['Ian Ziering'],Ian Ziering,Ian Ziering,True,True,['Ian Ziering' 'Laila Ali' 'Apolo Anton Ohno' 'Joey Fatone'],[4 1 3 1],[4 3 1 2],[0.18267157 0.25743232 0.30093306 0.25896306]
4,10,[],Laila Ali,Laila Ali,False,False,['Laila Ali' 'Apolo Anton Ohno' 'Joey Fatone'],[3 1 2],[3 2 1],[0.3284285  0.33768206 0.33388945]
5,1,['Josie Maran'],Josie Maran,Josie Maran,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Floyd Mayweather Jr. ' 'Josie Maran' 'Albert Reed' 'Helio Castroneves'
 'Mel B' 'Wayne Newton' 'Marie Osmond' 'Mark Cuban']",[ 5  3  1  5 11 12  5  2  3 10  5  5],[11  9  6  3  1 12  8 10  7  2  4  5],"[0.08050607 0.08779173 0.09333779 0.08701266 0.09082145 0.04482373
 0.08210007 0.08957686 0.08809346 0.0861856  0.08565154 0.08409906]"
5,2,['Albert Reed'],Albert Reed,Albert Reed,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Floyd Mayweather Jr. ' 'Albert Reed' 'Helio Castroneves' 'Mel B'
 'Wayne Newton' 'Marie Osmond' 'Mark Cuban']",[ 5  5  2  5  5  5  1  4 11  3 10],[10  8  5  6  9 11  7  4  1  3  2],"[0.07537472 0.0870631  0.09995182 0.08814422 0.08057412 0.04833694
 0.10029687 0.09377521 0.11727877 0.10086013 0.10834409]"
5,3,['Wayne Newton'],Wayne Newton,Wayne Newton,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Floyd Mayweather Jr. ' 'Helio Castroneves' 'Mel B' 'Wayne Newton'
 'Marie Osmond' 'Mark Cuban']",[ 7  1  1  4  8  6  1 10  4  9],[ 2  3  7  5  6  4  8 10  9  1],"[0.10590274 0.11215422 0.10767416 0.10646002 0.09550865 0.10324766
 0.10638421 0.05149837 0.10241929 0.10875068]"
5,4,['Floyd Mayweather Jr. '],Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Floyd Mayweather Jr. ' 'Helio Castroneves' 'Mel B' 'Marie Osmond'
 'Mark Cuban']",[2 5 1 2 8 2 5 5 9],[7 6 3 5 9 8 4 2 1],"[0.11404455 0.11229713 0.1250401  0.1167996  0.06512425 0.11308311
 0.11537944 0.11875958 0.11947226]"
5,5,['Mark Cuban'],Mark Cuban,Mark Cuban,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Helio Castroneves' 'Mel B' 'Marie Osmond' 'Mark Cuban']",[3 3 2 5 6 1 7 7],[6 5 4 3 2 7 1 8],"[0.12930109 0.12953611 0.136458   0.13571409 0.13281739 0.13070184
 0.13575294 0.06971854]"
5,6,['Sabrina Bryan'],Sabrina Bryan,Sabrina Bryan,True,True,"['Cameron Mathison' 'Jane Seymour' 'Sabrina Bryan' 'Jennie Garth'
 'Helio Castroneves' 'Mel B' 'Marie Osmond']",[4 7 4 3 2 1 6],[4 2 7 3 6 5 1],"[0.14068268 0.16169573 0.08127792 0.15215006 0.14531057 0.15286235
 0.16602067]"
5,7,['Jane Seymour'],Jane Seymour,Jane Seymour,True,True,"['Cameron Mathison' 'Jane Seymour' 'Jennie Garth' 'Helio Castroneves'
 'Mel B' 'Marie Osmond']",[5 6 2 3 1 3],[1 6 3 5 4 2],[0.19662614 0.11526711 0.17248216 0.16797401 0.17127155 0.17637903]
5,8,['Cameron Mathison'],Cameron Mathison,Cameron Mathison,True,True,"['Cameron Mathison' 'Jennie Garth' 'Helio Castroneves' 'Mel B'
 'Marie Osmond']",[3 4 1 2 5],[5 2 4 3 1],[0.12201571 0.2116029  0.19457411 0.22164059 0.25016669]
5,9,['Jennie Garth'],Jennie Garth,Jennie Garth,True,True,['Jennie Garth' 'Helio Castroneves' 'Mel B' 'Marie Osmond'],[3 1 1 4],[4 2 3 1],[0.17207513 0.26885199 0.26420884 0.29486404]
5,10,[],Helio Castroneves,Marie Osmond,False,False,['Helio Castroneves' 'Mel B' 'Marie Osmond'],[2 1 3],[3 1 2],[0.34103515 0.34920899 0.30975586]
6,1,[],Adam Carolla,Adam Carolla,False,False,"['Cristian de la Fuente' 'Steve Guttenberg' 'Priscilla Presley'
 'Marlee Matlin' 'Shannon Elizabeth' 'Marissa Jaret Winokur'
 'Jason Taylor' 'Kristi Yamaguchi' 'Monica Seles' 'Penn Jillette'
 'Adam Carolla' 'Mario']",[ 6  8  2  4  6  8  4  1 11 10 11  2],[ 2  6 10  9  8  1  3  4  7  5 12 11],"[0.08710021 0.07876235 0.08980994 0.08571919 0.08411921 0.08128163
 0.08828553 0.09761491 0.07238963 0.07495248 0.07035364 0.08961127]"
6,2,"['Monica Seles', 'Penn Jillette']",Monica Seles,Penn Jillette,True,True,"['Cristian de la Fuente' 'Steve Guttenberg' 'Priscilla Presley'
 'Marlee Matlin' 'Shannon Elizabeth' 'Marissa Jaret Winokur'
 'Jason Taylor' 'Kristi Yamaguchi' 'Monica Seles' 'Penn Jillette'
 'Adam Carolla' 'Mario']",[ 8 11  6  4  4  6  1  1 12 10  9  3],[ 3  2  4  7  5  6  8 10 11 12  1  9],"[0.08992631 0.08890443 0.08876698 0.09080239 0.09176768 0.0855923
 0.09591426 0.0921719  0.0444126  0.04408009 0.09732781 0.09033325]"
6,3,['Steve Guttenberg'],Steve Guttenberg,Steve Guttenberg,True,True,"['Cristian de la Fuente' 'Steve Guttenberg' 'Priscilla Presley'
 'Marlee Matlin' 'Shannon Elizabeth' 'Marissa Jaret Winokur'
 'Jason Taylor' 'Kristi Yamaguchi' 'Adam Carolla' 'Mario']",[ 3  6  2  6  4 10  5  1  6  6],[ 8 10  7  5  9  1  3  6  4  2],"[0.10236856 0.0530851  0.10703489 0.09984105 0.09986971 0.11671373
 0.10570184 0.11061516 0.10015779 0.10461217]"
6,4,['Adam Carolla'],Adam Carolla,Adam Carolla,True,True,"['Cristian de la Fuente' 'Priscilla Presley' 'Marlee Matlin'
 'Shannon Elizabeth' 'Marissa Jaret Winokur' 'Jason Taylor'
 'Kristi Yamaguchi' 'Adam Carolla' 'Mario']",[4 8 5 3 5 1 1 9 5],[4 1 2 6 3 7 8 9 5],"[0.11872462 0.12138014 0.11484801 0.1186838  0.11447712 0.1197504
 0.1186892  0.0617028  0.11174391]"
6,5,['Priscilla Presley'],Priscilla Presley,Priscilla Presley,True,True,"['Cristian de la Fuente' 'Priscilla Presley' 'Marlee Matlin'
 'Shannon Elizabeth' 'Marissa Jaret Winokur' 'Jason Taylor'
 'Kristi Yamaguchi' 'Mario']",[5 8 7 5 4 2 1 2],[2 8 1 3 7 6 5 4],"[0.12975815 0.07458864 0.13870055 0.12782386 0.12256187 0.13206123
 0.13916424 0.13534146]"
6,6,['Marlee Matlin'],Marlee Matlin,Marlee Matlin,True,True,"['Cristian de la Fuente' 'Marlee Matlin' 'Shannon Elizabeth'
 'Marissa Jaret Winokur' 'Jason Taylor' 'Kristi Yamaguchi' 'Mario']",[3 7 5 4 5 1 2],[6 7 2 3 1 4 5],"[0.1503318  0.08280985 0.15099371 0.15056205 0.15211072 0.15997234
 0.15321952]"
6,7,['Shannon Elizabeth'],Shannon Elizabeth,Shannon Elizabeth,True,True,"['Cristian de la Fuente' 'Shannon Elizabeth' 'Marissa Jaret Winokur'
 'Jason Taylor' 'Kristi Yamaguchi' 'Mario']",[6 4 3 1 2 4],[1 6 3 5 4 2],[0.19854404 0.1014298  0.18204943 0.16308299 0.16981657 0.18507716]
6,8,['Mario'],Mario,Mario,True,True,"['Cristian de la Fuente' 'Marissa Jaret Winokur' 'Jason Taylor'
 'Kristi Yamaguchi' 'Mario']",[1 5 4 2 3],[4 1 3 2 5],[0.19959752 0.24688297 0.20661745 0.22422957 0.12267248]
6,9,['Marissa Jaret Winokur'],Marissa Jaret Winokur,Marissa Jaret Winokur,True,True,"['Cristian de la Fuente' 'Marissa Jaret Winokur' 'Jason Taylor'
 'Kristi Yamaguchi']",[2 4 3 1],[2 4 1 3],[0.26107988 0.17414985 0.3062942  0.25847606]
6,10,[],Cristian de la Fuente,Cristian de la Fuente,False,False,['Cristian de la Fuente' 'Jason Taylor' 'Kristi Yamaguchi'],[3 2 1],[3 2 1],[0.3158013 0.335803  0.3483957]
7,1,"['Ted McGinley', 'Jeffrey Ross']",Jeffrey Ross,Jeffrey Ross,True,True,"['Ted McGinley' 'Cloris Leachman' 'Susan Lucci' 'Cody Linley'
 'Misty May-Treanor' 'Maurice Greene' 'Warren Sapp' 'Jeffrey Ross'
 'Toni Braxton' 'Lance Bass' 'Kim Kardashian' 'Rocco DiSpirito'
 'Brooke Burke']",[ 8 12  8  6  5  7  3 13  2  3  8 11  1],[13  1  3 10  9  6 11 12  8  4  7  2  5],"[0.0430782  0.09532986 0.08475037 0.07555856 0.07985541 0.07915618
 0.07253683 0.0365404  0.08374888 0.08659976 0.07696444 0.09539297
 0.09048813]"
7,2,['Kim Kardashian'],Kim Kardashian,Kim Kardashian,True,True,"['Cloris Leachman' 'Susan Lucci' 'Cody Linley' 'Misty May-Treanor'
 'Maurice Greene' 'Warren Sapp' 'Toni Braxton' 'Lance Bass'
 'Kim Kardashian' 'Rocco DiSpirito' 'Brooke Burke']",[11  4  4  4  8  1  3  7  9 10  1],[ 1  7  9  8  3  5  6  4 11  2 10],"[0.0917405  0.09297472 0.09066604 0.09223597 0.09942835 0.10225517
 0.09767973 0.0952738  0.04778371 0.09321191 0.0967501 ]"
7,3,[],Cody Linley,Cloris Leachman,False,False,"['Cloris Leachman' 'Susan Lucci' 'Cody Linley' 'Maurice Greene'
 'Warren Sapp' 'Toni Braxton' 'Lance Bass' 'Rocco DiSpirito'
 'Brooke Burke']",[9 6 6 3 2 4 4 8 1],[3 5 9 2 1 8 6 7 4],"[0.09660394 0.10803133 0.10572467 0.11834715 0.12122435 0.10922212
 0.11045254 0.10435854 0.12603536]"
7,4,['Rocco DiSpirito'],Rocco DiSpirito,Rocco DiSpirito,True,True,"['Cloris Leachman' 'Susan Lucci' 'Cody Linley' 'Maurice Greene'
 'Warren Sapp' 'Toni Braxton' 'Lance Bass' 'Rocco DiSpirito'
 'Brooke Burke']",[5 3 4 8 5 5 1 9 1],[4 5 6 1 3 2 7 9 8],"[0.11242772 0.11676182 0.11297515 0.12411693 0.11541177 0.11548448
 0.11985599 0.06401091 0.11895523]"
7,5,['Toni Braxton'],Toni Braxton,Toni Braxton,True,True,"['Cloris Leachman' 'Susan Lucci' 'Cody Linley' 'Maurice Greene'
 'Warren Sapp' 'Toni Braxton' 'Lance Bass' 'Brooke Burke']",[7 5 2 3 4 5 7 1],[1 4 6 5 3 8 2 7],"[0.13825483 0.12651602 0.12876913 0.13149389 0.14182352 0.06851767
 0.13335824 0.13126671]"
7,6,['Cloris Leachman'],Cloris Leachman,Cloris Leachman,True,True,"['Cloris Leachman' 'Susan Lucci' 'Cody Linley' 'Maurice Greene'
 'Warren Sapp' 'Lance Bass' 'Brooke Burke']",[7 4 4 6 3 1 2],[7 2 4 1 6 3 5],"[0.07231261 0.15232274 0.14836765 0.1623566  0.1491272  0.16219391
 0.15331929]"
7,7,['Susan Lucci'],Susan Lucci,Susan Lucci,True,True,"['Susan Lucci' 'Cody Linley' 'Maurice Greene' 'Warren Sapp' 'Lance Bass'
 'Brooke Burke']",[4 5 2 6 2 1],[6 2 5 1 3 4],[0.1047719  0.17538954 0.16479295 0.18873837 0.18051087 0.18579636]
7,8,['Maurice Greene'],Maurice Greene,Maurice Greene,True,True,['Cody Linley' 'Maurice Greene' 'Warren Sapp' 'Lance Bass' 'Brooke Burke'],[4 4 2 3 1],[2 5 3 1 4],[0.22366769 0.12527728 0.21586283 0.23048077 0.20471143]
7,9,['Cody Linley'],Cody Linley,Cody Linley,True,True,['Cody Linley' 'Warren Sapp' 'Lance Bass' 'Brooke Burke'],[4 2 1 2],[4 1 3 2],[0.17801415 0.27717501 0.27127565 0.27353519]
7,10,[],Lance Bass,Lance Bass,False,False,['Warren Sapp' 'Lance Bass' 'Brooke Burke'],[2 2 1],[2 3 1],[0.3274975  0.32651305 0.34598945]
8,1,[],Lawrence Taylor,Steve Wozniak,False,False,"['Gilles Marini' 'Denise Richards' 'David Alan Grier' 'Lawrence Taylor'
 'Ty Murray' 'Shawn Johnson' 'Steve Wozniak' 'Belinda Carlisle'
 'Chuck Wicks' ""Lil' Kim"" 'Steve-O' 'Holly Madison' 'Melissa Rycroft']",[ 1  7  6 11 12  2 13  9  5  4  9  7  2],[ 3 13  7 12  8  4 10  5  1  6  2 11  9],"[0.08851555 0.0740212  0.07777619 0.0701233  0.06724287 0.08621327
 0.0644684  0.07383074 0.08159619 0.08195074 0.07426339 0.0745315
 0.08546666]"
8,2,['Belinda Carlisle'],Belinda Carlisle,Belinda Carlisle,True,True,"['Gilles Marini' 'Denise Richards' 'David Alan Grier' 'Lawrence Taylor'
 'Ty Murray' 'Shawn Johnson' 'Steve Wozniak' 'Belinda Carlisle'
 'Chuck Wicks' ""Lil' Kim"" 'Steve-O' 'Holly Madison' 'Melissa Rycroft']",[ 1  5 11  6  6  3 11  9  6  4 13  9  2],[ 6 12  3  5  8 10  2 13  9 11  1  4  7],"[0.0898038  0.07426703 0.08011269 0.07719445 0.07366457 0.08034624
 0.08643555 0.04064893 0.07335626 0.07819442 0.08501824 0.07469853
 0.0862593 ]"
8,3,['Denise Richards'],Denise Richards,Denise Richards,True,True,"['Gilles Marini' 'Denise Richards' 'David Alan Grier' 'Lawrence Taylor'
 'Ty Murray' 'Shawn Johnson' 'Steve Wozniak' 'Chuck Wicks' ""Lil' Kim""
 'Steve-O' 'Holly Madison' 'Melissa Rycroft']",[ 1 10  5  8  6  1 12  6  4 11  9  1],[ 9 12  7  4  3  8  1 11 10  5  6  2],"[0.09402234 0.03960611 0.09167731 0.08439108 0.09166999 0.09425147
 0.07611142 0.0834298  0.08948534 0.07443451 0.07808274 0.10283788]"
8,4,"['Steve Wozniak', 'Holly Madison']",Steve Wozniak,Steve Wozniak,True,True,"['Gilles Marini' 'David Alan Grier' 'Lawrence Taylor' 'Ty Murray'
 'Shawn Johnson' 'Steve Wozniak' 'Chuck Wicks' ""Lil' Kim"" 'Steve-O'
 'Holly Madison' 'Melissa Rycroft']",[ 1  6  8  4  4 11  6  3 10  9  2],[ 9  4  2  7  6 10  3  8  1 11  5],"[0.10613389 0.09801831 0.10218855 0.09727149 0.09907294 0.04200155
 0.10044048 0.10118239 0.09933393 0.04494274 0.10941374]"
8,5,['David Alan Grier'],David Alan Grier,David Alan Grier,True,True,"['Gilles Marini' 'David Alan Grier' 'Lawrence Taylor' 'Ty Murray'
 'Shawn Johnson' 'Chuck Wicks' ""Lil' Kim"" 'Steve-O' 'Melissa Rycroft']",[1 6 8 7 2 5 2 9 4],[6 9 2 5 7 3 4 1 8],"[0.12548384 0.06149814 0.12151265 0.10946725 0.11051888 0.12742824
 0.12173705 0.11990905 0.1024449 ]"
8,6,['Steve-O'],Steve-O,Steve-O,True,True,"['Gilles Marini' 'Lawrence Taylor' 'Ty Murray' 'Shawn Johnson'
 'Chuck Wicks' ""Lil' Kim"" 'Steve-O' 'Melissa Rycroft']",[3 6 7 3 5 1 8 2],[4 2 1 6 3 5 8 7],"[0.13676113 0.13106178 0.1277938  0.13414943 0.13336438 0.14153588
 0.06237753 0.13295606]"
8,7,['Lawrence Taylor'],Lawrence Taylor,Lawrence Taylor,True,True,"['Gilles Marini' 'Lawrence Taylor' 'Ty Murray' 'Shawn Johnson'
 'Chuck Wicks' ""Lil' Kim"" 'Melissa Rycroft']",[3 7 6 2 3 5 1],[3 7 1 4 6 2 5],"[0.14946637 0.08319097 0.16409205 0.15220103 0.1455716  0.15397197
 0.151506  ]"
8,8,['Chuck Wicks'],Chuck Wicks,Chuck Wicks,True,True,"['Gilles Marini' 'Ty Murray' 'Shawn Johnson' 'Chuck Wicks' ""Lil' Kim""
 'Melissa Rycroft']",[2 3 3 5 1 6],[4 3 2 6 5 1],[0.17007503 0.18178147 0.18463489 0.10882447 0.17097899 0.18370514]
