season,week,eliminated,judge_rank,fan_rank,actual_status
16,7,Dorothy Hamill,8,1,Safe
16,8,Dorothy Hamill,7,1,Safe
16,9,Dorothy Hamill,6,1,Safe
16,10,Dorothy Hamill,5,1,Safe
17,1,Bill Nye,12,12,Safe
17,2,Bill Nye,12,10,Safe
17,3,Valerie Harper,10,8,Safe
17,4,Valerie Harper,10,10,Eliminated
17,5,Leah Remini,9,5,Safe
17,6,Bill Engvall,8,8,Safe
17,7,Bill Engvall,8,7,Safe
17,8,Bill Engvall,7,6,Safe
17,9,Bill Engvall,6,5,Safe
17,10,Bill Engvall,5,4,Safe
17,11,Bill Engvall,4,4,Eliminated
18,1,Billy Dee Williams,12,10,Safe
18,2,Diana Nyad,12,11,Eliminated
18,3,Billy Dee Williams,10,8,Safe
18,4,Billy Dee Williams,10,10,Safe
18,5,Billy Dee Williams,10,1,Safe
18,6,Billy Dee Williams,9,1,Safe
18,7,Billy Dee Williams,8,1,Safe
18,8,Billy Dee Williams,7,1,Safe
18,9,Billy Dee Williams,6,1,Safe
18,10,Billy Dee Williams,5,1,Safe
19,1,Betsey Johnson,13,9,Safe
19,2,Michael Waltrip,12,9,Safe
19,3,Randy Couture,11,11,Eliminated
19,4,Michael Waltrip,9,8,Safe
19,5,Michael Waltrip,9,9,Safe
19,6,Antonio Sabato Jr.,8,4,Safe
19,7,Michael Waltrip,8,7,Safe
19,8,Michael Waltrip,7,7,Eliminated
19,9,Tommy Chong,6,4,Safe
19,10,Tommy Chong,5,5,Eliminated
19,11,Bethany Mota,4,4,Eliminated
20,1,Redfoo,11,10,Safe
20,2,Chris Soules,12,6,Safe
20,3,Patti LaBelle,10,8,Safe
20,4,Chris Soules,10,7,Safe
20,5,Robert Herjavec,9,8,Safe
20,6,Robert Herjavec,8,7,Safe
20,7,Chris Soules,6,4,Safe
20,8,Robert Herjavec,6,6,Eliminated
20,9,Noah Galloway,4,3,Safe
21,1,Kim Zolciak-Biermann,13,13,Safe
21,2,Chaka Khan,13,12,Eliminated
21,3,Kim Zolciak-Biermann,11,11,Safe
21,4,Kim Zolciak-Biermann,11,1,Safe
21,5,Kim Zolciak-Biermann,10,10,Safe
21,6,Kim Zolciak-Biermann,10,1,Safe
21,7,Kim Zolciak-Biermann,9,1,Safe
21,8,Kim Zolciak-Biermann,8,1,Safe
21,9,Kim Zolciak-Biermann,7,1,Safe
21,10,Kim Zolciak-Biermann,5,3,Safe
21,11,Kim Zolciak-Biermann,5,4,Safe
22,1,Geraldo Rivera,12,12,Safe
22,2,Geraldo Rivera,12,12,Eliminated
22,3,Mischa Barton,11,11,Eliminated
22,4,Doug Flutie,10,9,Safe
22,5,Antonio Brown,9,5,Safe
22,6,Doug Flutie,9,9,Eliminated
22,7,Jodie Sweetin,8,4,Safe
22,8,Wanya Morris,6,3,Safe
22,9,Antonio Brown,5,4,Eliminated
23,1,Rick Perry,13,13,Safe
23,2,Rick Perry,13,12,Safe
23,3,Vanilla Ice,11,9,Safe
23,4,Babyface,11,10,Eliminated
23,5,Ryan Lochte,6,5,Safe
23,6,Amber Rose,9,9,Eliminated
23,7,Marilu Henner,8,6,Safe
23,8,Marilu Henner,7,5,Safe
23,9,James Hinchcliffe,5,4,Safe
23,10,Calvin Johnson Jr.,5,3,Safe
23,11,Jana Kramer,4,4,Eliminated
24,1,Chris Kattan,12,12,Safe
24,2,Mr. T,11,10,Safe
24,3,Mr. T,9,9,Safe
24,4,Mr. T,10,10,Eliminated
24,5,David Ross,9,7,Safe
24,6,Nick Viall,8,7,Safe
24,7,Bonner Bolton,7,4,Safe
24,8,Bonner Bolton,5,5,Eliminated
24,9,David Ross,4,3,Safe
25,1,Barbara Corcoran,13,13,Safe
25,2,Barbara Corcoran,13,13,Eliminated
25,3,Sasha Pieterse,11,6,Safe
25,4,Nick Lachey,11,8,Safe
25,5,Nick Lachey,10,7,Safe
25,6,Nick Lachey,9,9,Eliminated
25,7,Nikki Bella,8,7,Eliminated
25,8,Drew Scott,6,5,Safe
25,9,Drew Scott,5,4,Safe
25,10,Drew Scott,4,4,Eliminated
26,1,Kareem Abdul-Jabbar,10,7,Safe
26,2,Kareem Abdul-Jabbar,8,7,Eliminated
26,3,Jennie Finch Daigle,6,6,Eliminated
27,1,Joe Amabile,13,11,Safe
27,2,Joe Amabile,12,10,Safe
27,3,Joe Amabile,11,8,Safe
27,4,Joe Amabile,10,1,Safe
27,5,Joe Amabile,9,8,Safe
27,6,John Schneider,9,5,Safe
27,7,Joe Amabile,8,5,Safe
27,8,Bobby Bones,6,3,Safe
27,9,Bobby Bones,4,4,Safe
28,1,Lamar Odom,12,10,Safe
28,2,Lamar Odom,12,8,Safe
28,3,Ray Lewis,11,9,Safe
28,4,Ray Lewis,11,8,Safe
28,5,Ray Lewis,10,8,Safe
28,6,Ray Lewis,10,10,Safe
28,7,Ray Lewis,9,3,Safe
28,8,Ray Lewis,8,2,Safe
28,9,Ray Lewis,7,5,Safe
28,10,Ray Lewis,6,3,Safe
28,11,Ray Lewis,5,5,Safe
29,1,Carole Baskin,15,15,Safe
29,2,Charles Oakley,14,15,Eliminated
29,3,Carole Baskin,14,14,Eliminated
29,4,Nelly,10,10,Safe
29,5,Chrishell Stause,11,5,Safe
29,6,Skai Jackson,11,2,Safe
29,7,Monica Aldama,10,10,Eliminated
29,8,Jeannie Mai,9,3,Safe
29,9,Jeannie Mai,8,5,Safe
29,10,Jeannie Mai,7,1,Safe
29,11,Jeannie Mai,5,5,Safe
30,1,Martin Kove,15,15,Safe
30,2,Martin Kove,15,15,Eliminated
30,3,Cody Rigsby,14,1,Safe
30,4,Brian Austin Green,13,13,Eliminated
30,5,Iman Shumpert,11,1,Safe
30,6,Kenya Moore,10,10,Eliminated
30,7,"Mike ""The Miz"" Mizanin",9,9,Eliminated
30,8,Jimmie Allen,8,7,Eliminated
30,9,Cody Rigsby,6,1,Safe
30,10,Cody Rigsby,4,3,Safe
31,1,Jason Lewis,15,16,Eliminated
31,2,Cheryl Ladd,15,10,Safe
31,3,Vinny Guadagnino,14,10,Safe
31,4,Sam Champion,13,13,Eliminated
31,5,Vinny Guadagnino,12,7,Safe
31,6,Selma Blair,11,3,Safe
31,7,Selma Blair,10,2,Safe
31,8,Selma Blair,9,2,Safe
31,9,Selma Blair,7,1,Safe
31,10,Selma Blair,5,3,Safe
32,1,Harry Jowsey,12,11,Safe
32,2,Mauricio Umansky,13,3,Safe
32,3,Tyson Beckford,12,12,Eliminated
32,4,Mauricio Umansky,9,5,Safe
32,5,Harry Jowsey,10,6,Safe
32,6,Harry Jowsey,9,2,Safe
32,7,Harry Jowsey,8,1,Safe
32,8,Harry Jowsey,7,1,Safe
32,9,Harry Jowsey,6,6,Eliminated
32,10,Alyson Hannigan,5,4,Safe
32,11,Alyson Hannigan,5,4,Safe
33,1,Eric Roberts,13,12,Safe
33,2,Eric Roberts,12,5,Safe
33,3,Reginald VelJohnson,11,10,Eliminated
33,4,Jenn Tran,4,7,Safe
33,5,Stephen Nedoroscik,6,3,Safe
33,6,Ilona Maher,7,1,Safe
33,7,Dwight Howard ,6,6,Eliminated
33,8,Stephen Nedoroscik,5,3,Safe
33,9,Danny Amendola,5,5,Safe
34,1,Corey Feldman,13,12,Safe
34,2,Corey Feldman,14,13,Eliminated
34,3,Andy Richter,11,10,Safe
34,4,Andy Richter,11,1,Safe
34,5,Andy Richter,10,10,Safe
34,6,Andy Richter,10,9,Safe
34,7,Andy Richter,9,7,Safe
34,8,Andy Richter,8,7,Safe
34,9,Andy Richter,7,7,Eliminated
34,10,Dylan Efron,6,1,Safe
34,11,Elaine Hendrix,5,5,Safe
